food_id,food_name,category,calories,protein,g_carbs,fat,fiber,suitable_for
80,Paneer curry,Curry,455,1.0,45.7,5.5,1.5,all
81,Oats porridge,Breakfast,330,11.0,22.6,5.9,6.4,all
82,Aloo paratha,Breakfast,439,3.9,35.1,16.7,7.4,vegetarian
83,Roti,Cereals,455,28.3,54.5,8.8,5.6,vegetarian
84,Dal,Curry,331,4.0,37.3,5.7,4.7,vegetarian
85,Buttermilk,Dairy,209,6.1,17.2,18.9,8.9,vegetarian
86,Kheer,Dessert,52,22.9,4.2,6.1,7.8,vegetarian
87,Chapati,Cereals,209,18.3,34.4,2.3,5.1,all
88,Rajma,Curry,94,27.8,21.2,8.7,1.4,non_vegetarian
89,Sambar,Curry,128,4.0,39.6,19.5,0.2,vegetarian
90,Paneer curry,Curry,151,27.3,37.9,17.6,9.1,all
91,Fruit salad,Fruit,79,26.1,0.5,8.1,8.2,all
92,Oats porridge,Breakfast,246,25.1,10.0,11.0,6.3,vegetarian
93,Curd,Dairy,253,2.9,59.2,4.7,8.6,all
94,Sambar,Curry,494,20.6,33.4,1.9,9.1,non_vegetarian
95,Rice,Cereals,473,19.1,35.3,10.7,5.9,all
96,Rice,Cereals,465,26.7,39.0,19.5,6.6,all
97,Pav Bhaji,Snacks,495,15.9,29.3,17.2,5.2,non_vegetarian
98,Idli,Breakfast,106,11.3,10.1,13.5,7.8,non_vegetarian
99,Methi paratha,Breakfast,235,0.3,47.9,11.6,2.0,vegetarian
100,Upma,Snacks,480,26.9,22.9,4.0,4.4,non_vegetarian
101,Samosa,Snacks,476,19.9,42.8,14.2,0.2,vegetarian
102,Pakora,Snacks,292,15.7,17.3,13.1,3.7,non_vegetarian
103,Samosa,Snacks,88,21.8,46.7,4.1,3.3,vegetarian
104,Aloo paratha,Breakfast,66,28.4,47.6,5.6,9.9,all
105,Samosa,Snacks,196,12.8,2.3,9.2,5.2,vegetarian
106,Pav Bhaji,Snacks,232,11.9,58.5,16.1,4.5,vegetarian
107,Lassi,Dairy,483,3.7,50.4,19.4,7.2,vegetarian
108,Methi paratha,Breakfast,436,14.9,13.7,7.1,2.9,vegetarian
109,Oats porridge,Breakfast,108,3.8,48.7,7.7,2.1,vegetarian
110,Curd,Dairy,320,7.6,3.3,17.9,1.4,non_vegetarian
111,Rasam,Curry,457,21.8,27.6,2.4,9.1,all
112,Buttermilk,Dairy,174,11.9,0.1,18.0,3.6,non_vegetarian
113,Rice,Cereals,276,19.5,36.3,10.6,4.9,non_vegetarian
114,Chicken curry,Curry,82,13.6,52.1,8.0,9.3,all
115,Curd,Dairy,207,24.5,33.2,13.5,2.2,vegetarian
116,Rasam,Curry,131,4.6,45.3,4.6,1.1,all
117,Dal,Curry,301,18.0,23.3,12.0,7.7,vegetarian
118,Upma,Snacks,459,9.0,40.2,15.1,6.0,vegetarian
119,Rajma,Curry,299,20.5,16.7,0.8,1.8,all
120,Pulao,Cereals,365,4.8,48.0,18.4,0.8,vegetarian
121,Buttermilk,Dairy,380,15.9,56.7,19.6,7.9,all
122,Chapati,Cereals,185,15.8,54.9,2.5,9.8,all
123,Lassi,Dairy,377,9.9,16.1,19.5,8.6,vegetarian
124,Oats porridge,Breakfast,257,8.1,12.6,8.4,5.5,vegetarian
125,Methi paratha,Breakfast,299,28.0,32.8,16.1,7.9,non_vegetarian
126,Chapati,Cereals,290,11.4,37.0,17.4,1.8,vegetarian
127,Halwa,Dessert,409,21.9,31.4,15.2,7.5,all
128,Paneer curry,Curry,446,3.2,40.4,8.4,7.6,all
129,Chole,Curry,454,15.4,21.0,2.2,9.2,non_vegetarian
130,Idli,Breakfast,409,18.2,33.1,5.2,8.5,non_vegetarian
131,Pav Bhaji,Snacks,175,4.3,59.6,19.6,4.4,vegetarian
132,Rice,Cereals,189,10.6,7.8,14.4,7.0,non_vegetarian
133,Oats porridge,Breakfast,82,2.7,42.2,13.0,7.6,non_vegetarian
134,Vegetable salad,Salad,80,11.4,37.8,10.6,6.7,non_vegetarian
135,Pav Bhaji,Snacks,336,25.3,56.5,0.9,0.6,vegetarian
136,Roti,Cereals,353,20.3,25.0,13.6,0.0,vegetarian
137,Halwa,Dessert,436,19.2,16.2,11.8,9.3,non_vegetarian
138,Pakora,Snacks,375,22.6,13.8,3.7,7.5,vegetarian
139,Rice,Cereals,427,1.6,56.9,8.4,5.0,vegetarian
140,Lassi,Dairy,127,12.4,40.8,12.0,7.5,non_vegetarian
141,Rasam,Curry,273,9.5,4.2,19.8,2.1,non_vegetarian
142,Pakora,Snacks,124,15.9,8.6,15.9,1.0,vegetarian
143,Roti,Cereals,160,13.2,59.7,12.2,1.4,all
144,Halwa,Dessert,242,22.8,36.6,4.2,8.5,all
145,Chicken curry,Curry,397,11.9,13.3,8.5,7.4,all
146,Halwa,Dessert,404,12.2,59.1,10.8,8.6,vegetarian
147,Chicken curry,Curry,481,1.6,52.4,5.1,7.6,vegetarian
148,Chicken curry,Curry,400,14.8,17.1,16.9,3.1,non_vegetarian
149,Halwa,Dessert,452,8.8,39.6,8.7,2.0,all
150,Buttermilk,Dairy,345,29.1,53.5,13.3,4.8,all
151,Dal,Curry,448,18.2,18.8,10.0,8.2,all
152,Idli,Breakfast,237,3.4,35.8,12.8,5.5,non_vegetarian
153,Rajma,Curry,451,24.7,37.3,10.4,4.7,all
154,Paneer curry,Curry,189,16.0,16.4,11.6,9.9,all
155,Chicken curry,Curry,456,14.9,3.2,12.2,1.0,vegetarian
156,Buttermilk,Dairy,203,27.0,55.3,14.3,5.1,vegetarian
157,Chapati,Cereals,295,29.7,43.3,9.3,1.1,all
158,Lassi,Dairy,375,9.8,10.9,4.3,0.6,non_vegetarian
159,Halwa,Dessert,336,7.4,49.6,17.8,5.9,vegetarian
160,Roti,Cereals,488,15.4,30.5,0.8,9.0,all
161,Idli,Breakfast,312,23.7,59.8,10.1,5.1,vegetarian
162,Dosa,Breakfast,392,22.4,18.7,2.6,7.0,vegetarian
163,Rasam,Curry,325,7.5,3.6,6.6,6.0,vegetarian
164,Halwa,Dessert,217,7.6,19.1,15.1,7.6,vegetarian
165,Halwa,Dessert,441,2.5,11.8,10.5,8.3,all
166,Sambar,Curry,391,22.2,58.9,16.5,0.4,vegetarian
167,Chapati,Cereals,198,16.7,12.6,4.4,3.7,all
168,Biryani,Cereals,450,5.9,27.8,5.4,2.6,vegetarian
169,Pakora,Snacks,301,1.4,20.6,8.1,9.8,all
170,Oats porridge,Breakfast,71,0.4,44.5,9.9,8.1,all
171,Paneer curry,Curry,240,15.0,51.9,0.3,1.1,all
172,Lassi,Dairy,55,11.6,51.6,16.5,6.3,vegetarian
173,Rasam,Curry,317,18.0,25.2,1.2,5.5,vegetarian
174,Rice,Cereals,399,11.1,51.9,15.1,8.2,non_vegetarian
175,Upma,Snacks,377,26.1,3.2,12.6,2.7,non_vegetarian
176,Vegetable salad,Salad,86,9.2,14.7,12.5,7.6,non_vegetarian
177,Oats porridge,Breakfast,246,8.5,6.7,14.8,5.1,all
178,Buttermilk,Dairy,104,28.5,23.7,2.1,5.2,vegetarian
179,Pulao,Cereals,325,21.8,15.4,19.7,1.4,all
180,Pav Bhaji,Snacks,462,8.0,29.1,2.1,3.1,non_vegetarian
181,Milk,Dairy,192,3.0,23.2,9.5,5.3,vegetarian
182,Chole,Curry,364,0.6,36.3,13.6,0.9,all
183,Roti,Cereals,188,28.8,43.5,17.6,3.7,vegetarian
184,Chole,Curry,354,17.0,20.5,3.3,1.5,non_vegetarian
185,Vegetable salad,Salad,345,26.6,46.9,7.0,0.7,all
186,Milk,Dairy,421,5.7,34.2,9.3,3.9,non_vegetarian
187,Milk,Dairy,58,28.3,47.4,2.9,8.0,non_vegetarian
188,Chole,Curry,468,6.4,26.9,15.4,4.5,vegetarian
189,Poha,Breakfast,280,27.5,39.7,4.4,4.9,non_vegetarian
190,Rajma,Curry,286,4.8,1.7,20.0,7.7,all
191,Milk,Dairy,223,26.4,31.9,16.1,7.3,non_vegetarian
192,Halwa,Dessert,385,17.7,56.2,13.7,3.1,all
193,Upma,Snacks,342,12.3,12.8,11.1,1.5,all
194,Lassi,Dairy,185,18.3,41.8,14.9,7.7,vegetarian
195,Roti,Cereals,249,22.0,4.6,18.1,0.4,non_vegetarian
196,Biryani,Cereals,422,14.0,42.0,16.2,8.4,non_vegetarian
197,Pulao,Cereals,401,29.9,29.1,17.2,9.0,vegetarian
198,Dal,Curry,421,26.1,30.3,5.3,6.5,non_vegetarian
199,Kheer,Dessert,98,8.1,19.4,0.2,5.6,non_vegetarian
200,Dosa,Breakfast,408,3.6,54.2,4.6,2.1,vegetarian
201,Dosa,Breakfast,409,18.4,55.5,17.7,6.4,non_vegetarian
202,Aloo paratha,Breakfast,113,2.1,15.6,12.2,2.9,vegetarian
203,Rasam,Curry,396,4.9,44.6,15.4,2.2,all
204,Rice,Cereals,306,7.1,40.2,18.7,2.2,non_vegetarian
205,Roti,Cereals,304,12.1,59.4,2.4,5.9,non_vegetarian
206,Chapati,Cereals,382,28.6,26.0,7.3,0.1,non_vegetarian
207,Methi paratha,Breakfast,485,14.1,52.9,3.8,7.1,vegetarian
208,Dosa,Breakfast,99,3.9,55.4,12.6,6.9,all
209,Dosa,Breakfast,442,13.5,39.7,12.0,2.6,vegetarian
210,Chicken curry,Curry,71,4.7,23.0,16.2,4.6,non_vegetarian
211,Upma,Snacks,315,5.8,6.5,0.2,5.3,non_vegetarian
212,Samosa,Snacks,362,15.6,3.3,12.1,0.6,all
213,Fruit salad,Fruit,222,6.1,41.9,16.3,6.9,non_vegetarian
214,Fruit salad,Fruit,414,24.1,20.0,4.2,7.2,all
215,Fruit salad,Fruit,212,21.3,38.7,9.5,0.7,vegetarian
216,Roti,Cereals,469,8.1,55.3,13.7,4.7,vegetarian
217,Halwa,Dessert,50,23.0,52.4,18.9,1.6,vegetarian
218,Rice,Cereals,355,19.6,20.8,4.0,0.4,vegetarian
219,Halwa,Dessert,50,20.3,56.1,11.5,3.0,all
220,Lassi,Dairy,229,8.2,8.4,13.8,1.0,non_vegetarian
221,Dal,Curry,415,23.5,40.4,0.0,2.3,all
222,Paneer curry,Curry,105,16.9,35.1,0.6,0.6,non_vegetarian
223,Rajma,Curry,389,26.4,59.8,4.5,2.2,non_vegetarian
224,Pav Bhaji,Snacks,64,20.7,23.5,14.4,1.4,non_vegetarian
225,Aloo paratha,Breakfast,370,16.5,45.5,5.3,2.5,all
226,Halwa,Dessert,437,25.8,41.3,16.6,2.6,vegetarian
227,Chapati,Cereals,55,12.4,29.2,14.8,7.4,all
228,Milk,Dairy,390,10.8,17.2,2.1,8.1,vegetarian
229,Chole,Curry,381,7.3,12.5,3.8,5.5,vegetarian
230,Biryani,Cereals,180,7.0,12.3,6.3,0.2,all
231,Idli,Breakfast,188,16.2,34.8,15.2,8.8,all
232,Dosa,Breakfast,118,13.1,43.7,1.2,9.8,non_vegetarian
233,Buttermilk,Dairy,145,13.8,41.3,11.7,2.1,vegetarian
234,Rice,Cereals,247,1.7,52.8,12.3,9.8,non_vegetarian
235,Chole,Curry,208,28.9,51.8,15.4,4.8,vegetarian
236,Pakora,Snacks,258,24.7,21.0,17.3,0.5,all
237,Sambar,Curry,318,24.0,51.6,0.6,6.6,non_vegetarian
238,Fruit salad,Fruit,127,20.7,41.6,14.7,7.1,all
239,Curd,Dairy,366,16.3,49.2,1.2,0.0,vegetarian
240,Pakora,Snacks,486,8.6,3.0,3.7,6.1,all
241,Dosa,Breakfast,131,2.6,48.9,12.8,7.5,all
242,Curd,Dairy,221,25.9,25.4,15.4,0.1,all
243,Chicken curry,Curry,438,28.1,46.1,17.8,6.1,non_vegetarian
244,Pav Bhaji,Snacks,367,28.2,30.4,19.1,10.0,non_vegetarian
245,Rasam,Curry,53,20.6,41.8,13.3,1.2,vegetarian
246,Curd,Dairy,191,10.7,49.5,7.4,4.5,all
247,Chicken curry,Curry,232,0.8,37.2,19.8,6.0,non_vegetarian
248,Aloo paratha,Breakfast,222,4.1,17.1,7.5,2.4,non_vegetarian
249,Lassi,Dairy,228,25.1,25.6,8.5,9.8,vegetarian
250,Methi paratha,Breakfast,331,22.6,21.0,5.1,7.9,all
251,Chole,Curry,332,22.0,17.2,5.4,9.1,non_vegetarian
252,Curd,Dairy,94,5.6,54.4,8.9,7.6,all
253,Aloo paratha,Breakfast,56,21.9,54.5,12.6,9.3,all
254,Fruit salad,Fruit,83,24.9,17.5,1.3,7.3,all
255,Buttermilk,Dairy,149,13.9,44.7,5.4,8.7,vegetarian
256,Rice,Cereals,123,28.2,55.0,15.0,2.0,all
257,Halwa,Dessert,243,7.0,34.5,17.7,5.8,non_vegetarian
258,Vegetable salad,Salad,252,16.5,57.0,11.2,3.6,all
259,Dal,Curry,408,29.2,59.1,13.6,0.1,non_vegetarian
260,Pakora,Snacks,362,13.4,18.8,6.9,0.2,non_vegetarian
261,Poha,Breakfast,296,2.9,51.1,11.3,6.9,all
262,Dosa,Breakfast,385,0.0,44.6,8.9,3.8,all
263,Oats porridge,Breakfast,285,7.0,41.1,8.3,4.2,non_vegetarian
264,Roti,Cereals,118,3.3,19.1,11.7,6.0,all
265,Aloo paratha,Breakfast,114,16.1,54.4,12.9,4.5,non_vegetarian
266,Chole,Curry,327,12.5,37.2,1.1,6.1,vegetarian
267,Roti,Cereals,163,2.2,43.7,15.1,6.1,non_vegetarian
268,Kheer,Dessert,303,17.3,8.6,19.1,1.4,non_vegetarian
269,Sambar,Curry,197,3.6,43.9,1.6,1.1,all
270,Halwa,Dessert,152,0.9,33.3,14.4,5.6,non_vegetarian
271,Sambar,Curry,152,22.7,5.1,9.3,0.4,vegetarian
272,Pav Bhaji,Snacks,337,29.2,24.1,8.2,0.4,all
273,Aloo paratha,Breakfast,420,27.6,44.1,4.4,4.0,vegetarian
274,Chole,Curry,238,24.5,14.4,12.9,9.7,non_vegetarian
275,Curd,Dairy,406,25.5,1.6,5.4,7.2,vegetarian
276,Poha,Breakfast,157,27.1,8.4,6.6,0.4,vegetarian
277,Aloo paratha,Breakfast,429,16.1,28.2,15.5,9.5,vegetarian
278,Upma,Snacks,150,29.9,42.0,16.7,3.7,non_vegetarian
279,Halwa,Dessert,283,22.0,0.9,10.1,4.2,vegetarian
280,Dal,Curry,76,11.4,42.7,8.2,9.5,non_vegetarian
281,Sambar,Curry,394,25.0,42.8,18.8,3.8,non_vegetarian
282,Samosa,Snacks,426,17.9,0.8,1.5,0.2,vegetarian
283,Halwa,Dessert,455,5.6,44.2,6.8,6.7,all
284,Milk,Dairy,438,22.1,22.1,17.8,8.2,vegetarian
285,Dal,Curry,215,27.8,28.3,16.1,9.4,all
286,Aloo paratha,Breakfast,357,4.5,55.0,1.5,7.1,non_vegetarian
287,Fruit salad,Fruit,168,9.1,9.0,14.1,0.8,non_vegetarian
288,Dosa,Breakfast,61,19.0,3.4,2.5,0.1,vegetarian
289,Chicken curry,Curry,130,1.9,12.0,19.0,5.5,all
290,Samosa,Snacks,87,29.0,8.3,18.0,2.4,non_vegetarian
291,Sambar,Curry,309,20.6,10.8,10.9,5.0,vegetarian
292,Kheer,Dessert,490,16.3,52.2,11.2,9.8,all
293,Rasam,Curry,379,14.4,10.0,16.2,9.3,non_vegetarian
294,Idli,Breakfast,326,10.8,34.2,11.3,3.5,non_vegetarian
295,Biryani,Cereals,77,12.4,35.8,7.5,6.5,vegetarian
296,Chicken curry,Curry,400,18.7,21.5,11.9,1.0,non_vegetarian
297,Poha,Breakfast,389,27.3,5.8,6.4,4.0,all
298,Rajma,Curry,354,8.9,40.1,7.4,7.5,non_vegetarian
299,Rajma,Curry,323,1.5,19.4,10.4,6.5,all
300,Biryani,Cereals,61,25.7,16.9,16.5,6.4,non_vegetarian
301,Aloo paratha,Breakfast,463,3.9,6.2,3.7,3.8,vegetarian
302,Dal,Curry,119,11.2,27.6,13.9,7.6,vegetarian
303,Chole,Curry,260,7.3,29.5,13.2,7.7,vegetarian
304,Dosa,Breakfast,272,2.8,11.5,16.2,4.2,vegetarian
305,Milk,Dairy,150,4.8,2.4,19.0,4.9,vegetarian
306,Buttermilk,Dairy,460,16.4,29.6,16.6,3.8,all
307,Oats porridge,Breakfast,424,10.0,48.7,0.8,7.0,non_vegetarian
308,Pakora,Snacks,171,6.7,6.5,12.0,7.9,vegetarian
309,Rasam,Curry,275,22.5,57.5,4.2,4.7,all
310,Halwa,Dessert,356,16.1,42.6,15.0,7.4,non_vegetarian
311,Pulao,Cereals,464,10.5,37.0,9.9,8.6,non_vegetarian
312,Fruit salad,Fruit,297,10.2,50.4,8.6,4.6,vegetarian
313,Curd,Dairy,439,7.5,54.3,7.2,8.6,vegetarian
314,Pakora,Snacks,429,8.0,27.2,10.0,8.6,vegetarian
315,Curd,Dairy,182,11.6,56.4,2.9,9.0,all
316,Rice,Cereals,434,28.7,47.4,0.5,1.7,vegetarian
317,Vegetable salad,Salad,187,15.1,41.4,13.5,5.7,non_vegetarian
318,Rasam,Curry,55,29.5,17.7,17.7,3.0,vegetarian
319,Chicken curry,Curry,65,6.6,0.4,6.8,0.8,vegetarian
320,Fruit salad,Fruit,252,16.7,28.2,15.7,8.0,non_vegetarian
321,Paneer curry,Curry,323,27.8,27.2,7.9,4.6,all
322,Samosa,Snacks,84,8.5,35.3,7.8,6.3,non_vegetarian
323,Aloo paratha,Breakfast,414,7.5,35.2,8.0,2.7,non_vegetarian
324,Poha,Breakfast,84,16.1,28.0,11.5,2.5,vegetarian
325,Biryani,Cereals,429,6.0,16.7,11.8,9.6,non_vegetarian
326,Chapati,Cereals,120,10.1,55.3,9.4,9.5,all
327,Pulao,Cereals,290,24.6,12.9,1.9,8.1,all
328,Pakora,Snacks,339,12.7,2.5,9.8,3.5,vegetarian
329,Chapati,Cereals,489,10.6,14.2,0.8,2.2,all
330,Rajma,Curry,293,20.3,11.0,18.9,2.0,all
331,Buttermilk,Dairy,427,5.4,19.3,17.0,5.2,non_vegetarian
332,Pav Bhaji,Snacks,73,7.4,48.4,6.5,0.4,non_vegetarian
333,Dal,Curry,70,15.4,46.5,1.7,6.3,non_vegetarian
334,Samosa,Snacks,72,18.1,8.0,9.3,4.6,non_vegetarian
335,Roti,Cereals,426,29.3,50.1,8.9,1.1,non_vegetarian
336,Methi paratha,Breakfast,76,6.3,23.8,14.9,3.1,all
337,Upma,Snacks,316,11.1,57.6,7.4,2.1,all
338,Aloo paratha,Breakfast,93,25.8,46.0,12.4,5.7,all
339,Sambar,Curry,185,12.0,3.3,2.3,1.0,vegetarian
340,Chicken curry,Curry,479,21.5,56.8,8.2,7.2,vegetarian
341,Pav Bhaji,Snacks,246,28.6,28.6,11.6,7.4,vegetarian
342,Dal,Curry,467,27.4,50.7,4.7,4.0,non_vegetarian
343,Idli,Breakfast,97,9.7,30.7,5.4,1.7,all
344,Halwa,Dessert,480,18.1,3.9,4.2,4.8,vegetarian
345,Vegetable salad,Salad,311,10.3,25.1,9.7,9.3,all
346,Rajma,Curry,238,18.1,33.5,18.0,5.3,vegetarian
347,Rajma,Curry,364,17.3,28.3,15.0,3.2,vegetarian
348,Pulao,Cereals,271,28.3,30.8,6.2,4.8,non_vegetarian
349,Fruit salad,Fruit,245,10.6,28.5,1.2,9.7,non_vegetarian
350,Biryani,Cereals,197,11.5,47.0,8.1,9.7,vegetarian
351,Fruit salad,Fruit,362,17.0,23.7,11.7,9.1,non_vegetarian
352,Chole,Curry,102,0.3,23.5,7.7,8.0,all
353,Pav Bhaji,Snacks,292,16.6,27.9,7.9,2.3,all
354,Pakora,Snacks,466,17.3,8.9,10.3,2.8,all
355,Chicken curry,Curry,269,0.1,55.8,7.9,1.3,vegetarian
356,Samosa,Snacks,227,3.2,15.4,15.6,4.7,all
357,Dal,Curry,487,4.9,16.8,18.3,1.6,non_vegetarian
358,Pakora,Snacks,303,22.7,35.2,3.4,5.6,vegetarian
359,Fruit salad,Fruit,76,15.4,42.4,10.9,8.6,all
360,Pakora,Snacks,464,24.6,10.0,13.1,1.8,non_vegetarian
361,Methi paratha,Breakfast,221,18.4,21.7,10.0,4.0,vegetarian
362,Aloo paratha,Breakfast,107,3.1,14.8,2.3,6.2,vegetarian
363,Milk,Dairy,204,11.9,17.8,7.7,8.0,all
364,Oats porridge,Breakfast,207,8.8,8.2,1.4,2.7,all
365,Pakora,Snacks,269,9.5,12.1,2.9,8.5,vegetarian
366,Methi paratha,Breakfast,487,5.8,31.0,15.1,0.7,vegetarian
367,Chapati,Cereals,309,0.8,34.5,19.4,7.7,non_vegetarian
368,Roti,Cereals,429,4.5,15.7,19.2,0.8,vegetarian
369,Curd,Dairy,351,22.2,52.3,11.8,8.5,non_vegetarian
370,Rice,Cereals,253,10.1,19.5,10.6,0.3,vegetarian
371,Oats porridge,Breakfast,132,7.6,41.7,16.2,1.3,all
372,Roti,Cereals,451,12.6,41.9,16.7,4.9,vegetarian
373,Sambar,Curry,368,1.6,39.3,18.9,5.5,all
374,Biryani,Cereals,445,10.0,23.2,11.8,5.8,all
375,Roti,Cereals,422,0.7,49.9,3.4,2.1,all
376,Kheer,Dessert,338,3.0,38.5,8.9,7.9,non_vegetarian
377,Lassi,Dairy,70,11.6,7.9,7.3,6.3,all
378,Rasam,Curry,311,2.2,17.3,6.0,8.0,all
379,Milk,Dairy,318,11.1,14.5,1.4,2.6,non_vegetarian
380,Sambar,Curry,341,13.4,30.2,2.6,8.1,all
381,Kheer,Dessert,247,14.3,47.8,5.3,1.9,all
382,Buttermilk,Dairy,294,29.0,0.8,17.7,2.6,vegetarian
383,Dosa,Breakfast,323,29.4,46.9,3.6,5.3,all
384,Methi paratha,Breakfast,466,13.6,13.6,11.1,8.4,non_vegetarian
385,Pav Bhaji,Snacks,426,13.3,49.6,19.9,0.3,all
386,Kheer,Dessert,304,29.9,25.4,19.4,3.4,all
387,Dal,Curry,182,3.2,45.0,13.3,8.5,non_vegetarian
388,Chicken curry,Curry,169,23.5,40.8,0.4,9.5,all
389,Chapati,Cereals,173,13.6,44.0,15.5,4.5,vegetarian
390,Kheer,Dessert,499,9.6,57.3,16.3,3.2,vegetarian
391,Samosa,Snacks,219,3.2,5.7,13.8,8.8,all
